Date,Weekly_Sales,Temperature,Temp_Category
2010-02-05,16836.121996615904,42.31,Low
2010-02-05,16836.121996615904,40.19,Low
2010-02-05,16836.121996615904,45.71,Low
2010-02-05,16836.121996615904,43.76,Low
2010-02-05,16836.121996615904,39.7,Low
2010-02-05,16836.121996615904,40.43,Low
2010-02-05,16836.121996615904,10.53,Low
2010-02-05,16836.121996615904,34.14,Low
2010-02-05,16836.121996615904,38.01,Low
2010-02-05,16836.121996615904,54.34,Low
2010-02-05,16836.121996615904,46.04,Low
2010-02-05,16836.121996615904,49.47,Low
2010-02-05,16836.121996615904,31.53,Low
2010-02-05,16836.121996615904,27.31,Low
2010-02-05,16836.121996615904,19.83,Low
2010-02-05,16836.121996615904,19.79,Low
2010-02-05,16836.121996615904,23.11,Low
2010-02-05,16836.121996615904,21.33,Low
2010-02-05,16836.121996615904,20.96,Low
2010-02-05,16836.121996615904,25.92,Low
2010-02-05,16836.121996615904,39.05,Low
2010-02-05,16836.121996615904,24.36,Low
2010-02-05,16836.121996615904,15.25,Low
2010-02-05,16836.121996615904,22.43,Low
2010-02-05,16836.121996615904,21.1,Low
2010-02-05,16836.121996615904,9.55,Low
2010-02-05,16836.121996615904,27.19,Low
2010-02-05,16836.121996615904,49.47,Low
2010-02-05,16836.121996615904,24.36,Low
2010-02-05,16836.121996615904,39.05,Low
2010-02-05,16836.121996615904,39.05,Low
2010-02-05,16836.121996615904,34.43,Low
2010-02-05,16836.121996615904,58.4,Low
2010-02-05,16836.121996615904,35.44,Low
2010-02-05,16836.121996615904,27.19,Low
2010-02-05,16836.121996615904,45.97,Low
2010-02-05,16836.121996615904,45.97,Low
2010-02-05,16836.121996615904,49.47,Low
2010-02-05,16836.121996615904,44.3,Low
2010-02-05,16836.121996615904,14.48,Low
2010-02-05,16836.121996615904,30.27,Low
2010-02-05,16836.121996615904,54.34,Low
2010-02-05,16836.121996615904,47.31,Low
2010-02-05,16836.121996615904,31.53,Low
2010-02-05,16836.121996615904,27.31,Low
2010-02-12,16352.056031799728,38.51,Low
2010-02-12,16352.056031799728,38.49,Low
2010-02-12,16352.056031799728,47.93,Low
2010-02-12,16352.056031799728,28.84,Low
2010-02-12,16352.056031799728,39.81,Low
2010-02-12,16352.056031799728,40.57,Low
2010-02-12,16352.056031799728,25.9,Low
2010-02-12,16352.056031799728,33.34,Low
2010-02-12,16352.056031799728,37.08,Low
2010-02-12,16352.056031799728,49.96,Low
2010-02-12,16352.056031799728,48.01,Low
2010-02-12,16352.056031799728,47.87,Low
2010-02-12,16352.056031799728,33.16,Low
2010-02-12,16352.056031799728,27.73,Low
2010-02-12,16352.056031799728,22.0,Low
2010-02-12,16352.056031799728,20.87,Low
2010-02-12,16352.056031799728,18.36,Low
2010-02-12,16352.056031799728,26.41,Low
2010-02-12,16352.056031799728,23.22,Low
2010-02-12,16352.056031799728,22.12,Low
2010-02-12,16352.056031799728,37.77,Low
2010-02-12,16352.056031799728,28.14,Low
2010-02-12,16352.056031799728,18.75,Low
2010-02-12,16352.056031799728,25.94,Low
2010-02-12,16352.056031799728,19.64,Low
